name,engName,activeIngredient,treatmentForm,treatmentCodeName,brand,in_stock,price,newItem,CBD,THC
אפסידאון סי,BLKMKT UPSIDE DOWN C T20H,T20C4,תפרחת,תפרחת BLEND T20 C4,BLKMKT,1,399,,0,24.4
בנגו,IMC BANJO T20I,T20C4,תפרחת,תפרחת BLEND T20 C4,IMC,1,299,,0,24.4
רוקאביי,ROCKABYE T20I,T20C4,תפרחת,תפרחת INDICA T20 C4,IMC,1,269,,0,24.4
כאמצו,CHENCHEW T20I,T20C4,תפרחת,תפרחת INDICA T20 C4,IMC,1,229,,0,24.4
פייס שארב,FACE SHERB T20H,T20C4,תפרחת,תפרחת BLEND T20 C4,IMC,1,379,,0,24.4
ביאף למו,BF LMO T20S,T20C4,תפרחת,תפרחת SATIVA T20 C4,IMC,1,199,,0,24.4
מוטו ברט,MOTOBRT T20I,T20C4,תפרחת,תפרחת INDICA T20 C4,IMC,1,199,,0,24.4
הנומאן,DIWALI FHANUMAN T20C4,T20C4,תפרחת,תפרחת BLEND T20 C4,דיוואלי,1,249,,0,24.4
רד מגמה מיניז,HEAT RED MAGMA MINIZ,T20C4,תפרחת,תפרחת BLEND T20 C4,היט,1,195,,0,24.4
רד מגמה,HEAT RED MAGMA T20C4,T20C4,תפרחת,תפרחת BLEND T20 C4,היט,1,295,,0,24.4
ריין פורסט קראנצ,WGNRS RAINFRST CRUNCH T20,T20C4,תפרחת,תפרחת BLEND T20 C4,ווגנרס,1,100,,0,24.4
פינק ווידו,PINK WIDOW T20 IND,T20C4,תפרחת,תפרחת INDICA T20 C4,ורטיקל,1,299,,0,24.4
גייווי,INFL GUV T20C4 IND,T20C4,תפרחת,תפרחת INDICA T20 C4,טוגדר,1,349,,0,24.4
דאבליו אר אם,WRM T20C4 HYB,T20C4,תפרחת,תפרחת BLEND T20 C4,טוגדר,1,279,,0,24.4
גנסיס,GENESIS T20C4 HYB,T20C4,תפרחת,תפרחת BLEND T20 C4,טוגדר,1,329,,0,24.4
יסוד,30FLIFE YESOD T20C4 HYB,T20C4,תפרחת,תפרחת BLEND T20 C4,טרי אוף לייף,1,349,,0,24.4
אלקטריק גליפיש,CANYA ELCTJELFSH T20C4,T20C4,תפרחת,תפרחת INDICA T20 C4,קאניה,1,265,,0,24.4
סרניטי,CSURE SELC SRN T20C4 IND,T20C4,תפרחת,תפרחת INDICA T20 C4,קנאשור,1,219,,0,24.4
ליטל טוקיו,LITTLE TOKYO T20C4,T20C4,תפרחת,תפרחת INDICA T20 C4,קנדוק,1,309,,0,24.4
מיריקל אליאן קוקיז,MIRACLE AC T20C4 INDICA,T20C4,תפרחת,תפרחת INDICA T20 C4,קנדוק,1,329,,0,24.4
פרוזן,FROZEN T20C4 SAT,T20C4,תפרחת,תפרחת SATIVA T20 C4,קנדוק,1,299,,0,24.4
סאן פרננדו וואלי,SAN FERNANDO VAL T20C4 H,T20C4,תפרחת,תפרחת BLEND T20 C4,קנדוק,1,329,,0,24.4
ספייס לאב סטארמלייד,SPACE LABS STARMALADE,T20C4,תפרחת,תפרחת BLEND T20 C4,קנדוק,1,319,,0,24.4
ווייט פייר,WHITE FIRE T20C4 HYB,T20C4,תפרחת,תפרחת BLEND T20 C4,קנדוק,1,309,,0,24.4
אוראוז,OREOZ T20C4 INDICA,T20C4,תפרחת,תפרחת INDICA T20 C4,קנהוד,1,349,,0,24.4
